待售房屋,室,厅,卫,面积,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,均价
新城悦隽央著~3室洋房 11中 带车位 一天未住 中央湖公园,3室,2厅,1卫,109,南北,高层(共7层),2018年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,150,13762
出售香锦园两室118万可议业主诚意出售,2室,1厅,1卫,89,南北,中层(共11层),2018年建造,香锦园,西青,张家窝,京福支线,南北 有电梯 近地铁 车位充足 ,118,13259
电梯房 满二 房龄新 中间楼层采光好 大两房 朝南,2室,2厅,1卫,86.22,南,中层(共34层),2016年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南 满二年 车位充足 户型方正 ,90,10439
杨村街 电梯房 满二 高楼层采光充足 正南朝向 大两房,2室,2厅,1卫,98,南,高层(共13层),2011年建造,蒲瑞馨园(北区),武清,杨村街,雍顺道,南 满二年 ,118,12041
富力尚悦居 南北通透 装修好 商品住宅 满五  ,1室,2厅,1卫,68.19,南北,高层(共33层),2015年建造,富力尚悦居,武清,杨村街,雍和道 近与翠通路,南北 满五年 ,95,13932
唐望府 医疗配套成熟 满五 带电梯 集中供暖 朝南,2室,1厅,1卫,88,南,低层(共26层),2015年建造,唐望府,塘沽,新河街,津塘公路,南 满五年 户型方正 ,95,10796
8中精装舒适大三居 双卫 超低密度 满二  ,3室,2厅,2卫,143.53,南北,中层(共16层),2021年建造,龙湖春江郦城,武清,杨村街,京津公路 近强国道,南北 满二年 次新房 ,305,21250
田园小区低楼层双阳居通透两居室采光好配套齐全满五年,2室,1厅,1卫,82.9,南北,低层(共6层),2017年建造,田园小区,北辰,普东街,姚江东路 近普济河东道,南北 满五年 近地铁 ,98,11822
咸水沽 满五 中间好楼层 次新房 大两居 商业配套齐全 朝南,2室,2厅,1卫,89,南,中层(共33层),2020年建造,世茂璀璨公园,津南,咸水沽,界河路,南 满五年 次新房 ,105,11798
馨达园(武清) 刚需两居 朝南 商圈成熟 高楼层视野好,2室,2厅,1卫,108,南,高层(共14层),2000年建造,馨达园(武清),武清,杨村街,雍阳东道,南 满五年 ,99,9167
南北通透 满二 产权清晰 次新小区 精装可拎包入住 大两居,2室,1厅,1卫,86.96,南北,低层(共9层),2022年建造,中建城澜和湾,滨海新区,滨海城区,津同道 近金光路,南北 满二年 车位充足 ,89,10235
价格可议10W 哈兰精装修三居室 户型方正 南北通透,3室,2厅,1卫,89.06,南北,高层(共18层),2015年建造,哈兰庄园,武清,泗村店镇,龙凤大道,南北 唯一住房 ,62,6962
荷香园 交通便捷 低密度社区 中间好楼层 近地铁 满五  ,2室,1厅,1卫,85,南北,中层(共6层),2000年建造,荷香园,塘沽,杭州道街,津塘公路1804号,南北 满五年 近地铁 ,97,11412
秋瑞家园 满二年 税费低 看房方便,2室,1厅,1卫,87.09,南北,中层(共11层),2006年建造,秋瑞家园,北辰,瑞景街,瑞景西道5号,南北 近地铁 ,99,11368
经纬华清家园！经纬一期~  神器~正南好户型一居~紧挨高铁,1室,2厅,0卫,56,南,高层(共33层),2014年建造,经纬城市绿洲华清家园,武清,杨村街,翠通路 近前进道,南 满二年 ,69,12322
丽泽花园(武清) 商品住宅 房龄新 电梯房 精装好房 大两居,2室,2厅,1卫,94,南,高层(共18层),2016年建造,丽泽花园(武清),武清,黄庄街,滨河道,南 满二年 ,105,11171
天穆 大两房 医疗配套成熟 出行方便 临地铁 南向采光好,2室,1厅,1卫,83,南,低层(共25层),2018年建造,天辰世纪天和丽园,北辰,天穆,顺义道18号,南 有电梯 ,105,12651
河西区天塔街天资里2室1厅,2室,1厅,1卫,57.07,南北,高层(共6层),1990年建造,天资里,河西,天塔,环湖东路 近黑牛城道,南北 满五年 近地铁 ,132,23130
香雪苑2室 84.44平诚意出售 价格可议 商圈成熟近地铁,2室,2厅,1卫,84.44,南,低层(共22层),2010年建造,香雪苑,津南,双港,景荷道,南 近地铁 户型方正 ,98,11606
意境兰庭 精装2居 滨海一中旁 无个税 无尾款 随时办手续,2室,2厅,1卫,86.1,南北,高层(共18层),2014年建造,意境兰庭,东丽,空港经济区,东六道 近兴宇路,南北 满五年 户型方正 ,155,18003
河西三片九江里 私产满五   两室南北通透双阳台 不临街急售,2室,1厅,1卫,54.81,南北,共5层,1990年建造,九江里,河西,小海地,双水道 近榆林路,南北 满五年 近地铁 ,122,22259
世茂国风雅颂 车位充足 满二 带电梯 次新小区 南北通透,3室,2厅,3卫,163.17,南北,高层(共7层),2021年建造,世茂国风雅颂,武清,黄庄街,滨河道,南北 满二年 车位充足 ,165,10113
起步区 季景天地对面精装2室 有钥匙 看房方便,2室,2厅,1卫,86.25,南,低层(共17层),2015年建造,季景华庭,滨海新区,中新生态城,和旭路1060号,南 房东直卖 满五年 车位充足 ,112,12986
经纬一期 好户型  高楼层 独立一居室 精装修 65万 高铁,1室,1厅,1卫,61,南北,高层(共26层),2016年建造,经纬城市绿洲华清家园,武清,杨村街,翠通路 近前进道,南北 有电梯 多人关注 ,65,10656
带电梯 交通便捷 精装好房 近地铁 南向采光好,2室,2厅,1卫,84.48,南,高层(共28层),2013年建造,香雪苑,津南,双港,景荷道,南 满五年 近地铁 ,105,12429
杨村街 朝南 中间楼层采光好 满五   低密度社区 近医院,3室,2厅,2卫,134.99,南,中层(共6层),2005年建造,盛世华庭(武清),武清,杨村街,强国道,南 满五年 ,206,15261
工农村 吾悦广场附近 新小区 精装两室 南北通透 定制家具,2室,2厅,1卫,86,南北,低层(共18层),2021年建造,紫悦华邸(滨海),滨海新区,滨海城区,黄山道,南北 次新房 多人关注 ,94,10931
带电梯 楼层好 满五 精装可拎包入住 商业配套成熟 商品房,2室,2厅,1卫,81,南,中层(共29层),2010年建造,东海云天,塘沽,新港街,港滨路961号,南 满五年 近地铁 ,100,12346
诚意出售 婚房装修 送全屋家具 H户型 南北通透,2室,1厅,1卫,84.93,南,高层(共27层),2016年建造,荣翠园,北辰,青光,北辰西道,南 满五年 ,92,10833
津南新城合茂园 交通便捷 大两居 板楼 配套齐全 南北通透,2室,1厅,1卫,89,南北,高层(共33层),2019年建造,津南新城合茂园,津南,咸水沽,尚德路,南北 车位充足 ,95,10675
福泽园一中门口 3楼南北通透落地窗 105可议,2室,2厅,1卫,92.35,南,共5层,2008年建造,福泽园(滨海),大港,古林街,世纪大道,南 满五年 ,105,11370
意境兰庭 精装2居 临地铁 紧邻滨海一中 送地库车位 无个税,2室,2厅,1卫,86.2,南北,低层(共18层),2017年建造,意境兰庭,东丽,空港经济区,东六道 近兴宇路,南北 满五年 户型方正 ,165,19142
商圈成熟 临地铁 有钥匙随时看房 带电梯 西南户型 交通便利,1室,1厅,1卫,53.95,西南,中层(共26层),2009年建造,临渭佳园,南开,长虹街,渭水道8号,西南 房东直卖 满五年 近地铁 ,123.8,22948
西大沽街 远景庄园 双阳二室 近地铁 周边配套齐全 价格可议,2室,2厅,1卫,85,南北,共4层,2005年建造,远景庄园,塘沽,西大沽街,迎宾大道,南北 满五年 ,86,10118
五马路 云居里5楼南北两室 明厨明卫 使用45可贷款,2室,1厅,1卫,45,南北,高层(共6层),1990年建造,云居里,南开,万兴街,白堤路1号,南北 近地铁 ,139,30889
楼层好 交通便捷 正规商品房 临地铁 商业配套齐全 南北通透,3室,2厅,2卫,127,南北,中层(共32层),2007年建造,晴景家园,塘沽,工农村街,金江路 近惠山道,南北 满五年 ,115,9056
秋瑞家园 有电梯 商业配套齐全 临地铁 医疗配套成熟 朝南,2室,1厅,1卫,86.92,南,低层(共17层),2006年建造,秋瑞家园,北辰,瑞景街,瑞景西道5号,南 满五年 近地铁 ,90,10355
碧桂园听湖(别墅) 南北通透 产权清晰 满二 小区新,4室,2厅,3卫,178.15,南北,共3层,2018年建造,碧桂园听湖(别墅),武清,下朱庄街,天和路,南北 满二年 ,180,10104
医疗配套成熟 精装可拎包入住 商业配套成熟 带电梯 双卫生间,3室,2厅,2卫,132.74,南,中层(共29层),2013年建造,盛世郦园,武清,杨村街,振华西道 近泉达路,南 满五年 ,230,17328
(出国诚售) 带地下车位  价格可大刀,2室,1厅,1卫,86.41,南北,中层(共32层),2019年建造,万科东第,西青,李七庄,昌凌路 近淄环路,南北 满五年 近地铁 车位充足 ,190,21989
红云新里 1楼 出行方便 适合各种人群居住 南北通透,2室,1厅,1卫,82.41,南,低层(共6层),1992年建造,红云新里,北辰,集贤里,纳河道,南 满五年 ,101,12256
河西三片 兰江毛坯次新房 3楼低总价 门口D铁8号线 方便看,1室,1厅,1卫,54,南北,低层(共26层),2016年建造,兰江新苑,河西,小海地,三水道 近梅林路,南北 有电梯 近地铁 ,135,25000
宸欣家园 有电梯 中间楼层采光好 商品住宅 出行方便,2室,1厅,1卫,82.29,南,中层(共18层),2012年建造,宸欣家园,北辰,普东街,汾河道 近姚江东路,南 满五年 近地铁 绿化率高 ,105,12760
杨村街 出行方便 低密宜居 高楼层采光充足 医疗配套成熟,2室,2厅,1卫,103,南北,高层(共6层),2000年建造,颐安花园(西区),武清,杨村街,泉旺路 近富民道,南北 满五年 ,100,9709
泉鑫佳苑(东区)  中间楼层 小区新 大两房 通透急售,2室,2厅,1卫,101.96,南北,中层(共16层),2018年建造,泉鑫佳苑(东区),武清,杨村街,泉水道,南北 有电梯 ,95,9318
南开区嘉陵道街罗江东里2室1厅,2室,1厅,1卫,51.95,南北,共5层,1990年建造,罗江东里,南开,嘉陵道,雅安道,南北 满二年 近地铁 ,151,29067
盛世家园 带电梯 装修好 低密度社区 满五  ,3室,2厅,2卫,139.52,南,高层(共15层),2009年建造,盛世家园,武清,杨村街,振华西道429号,南 满五年 ,225,16127
河东区 赠阁楼 部队院 户型好  年轻人  ,2室,1厅,1卫,83.05,南北,高层(共6层),2004年建造,真理园,河东,常州道,真理道,南北 满五年 近地铁 多人关注 ,103,12403
南北通透 满五 税费低 业主诚意出售,2室,2厅,1卫,97.44,南北,高层(共18层),2008年建造,翠杉园,西青,中北,中北大道 近支路五,南北 ,159,16318
正荣府 产权清晰 有电梯 临地铁 停车方便 大两居,2室,2厅,1卫,85.01,南,低层(共33层),2019年建造,正荣府,北辰,宜兴埠,沁河中道 近淮东路,南 满五年 近地铁 车位充足 ,109,12823
急卖！民和巷花园 精装修 一楼带大院 价格可议 看房随时,2室,2厅,1卫,83,南北,低层(共15层),2014年建造,万科民和巷A区,东丽,新立镇,东平路,南北 满五年 近地铁 车位充足 ,163,19639
滨海西站 新房现房 春风海  南北通透户型 随时看房,2室,2厅,1卫,80,南北,高层(共18层),2020年建造,中交春风海上,滨海新区,滨海城区,华山道,南北 次新房 多人关注 ,66,8250
青光 大两居 南北通透 满五   装修好 中间好楼层 电梯房,2室,1厅,1卫,83,南北,中层(共26层),2012年建造,荣悦园,北辰,青光,外环西路,南北 满五年 ,92,11085
带电梯 大两居 近地铁 交通便捷 南向采光好 动静分离,2室,1厅,1卫,87,南,低层(共18层),2013年建造,淮盛园,北辰,普东街,姚江东路 近淮河南道,南 有电梯 近地铁 ,109,12529
碧龙园 交通便利 南北通透 近地铁 商品住宅 低密宜居,2室,2厅,1卫,88.92,南北,低层(共6层),2004年建造,碧龙园,北辰,双街镇,顺畅路104号,南北 满五年 ,89,10009
云锦世家 西边户 急售房 三室双卫 落地窗 满5,3室,2厅,2卫,122.74,南北,低层(共11层),2013年建造,云锦世家(南区),西青,中北,星光路,南北 ,228,18576
交通便利 满二 停车方便 双卫 电梯房 商业配套齐全,3室,2厅,2卫,135,南,高层(共28层),2011年建造,津南新城合茂园,津南,咸水沽,尚德路,南 满二年 车位充足 户型方正 ,135,10000
融林园两室精装修 干净整洁 诚心出售 价格可议,2室,1厅,1卫,83.02,南,中层(共13层),2016年建造,融林园,东丽,张贵庄街,津滨大道,南 有电梯 近地铁 ,159,19153
大两居 临地铁 南向采光好 满五 高楼层视野好 精装好房,2室,1厅,1卫,84.55,南,高层(共28层),2013年建造,香雪苑,津南,双港,景荷道,南 满五年 近地铁 ,100,11828
必卖好房（甄选保真）齐帥专卖雅仕 全明两室 总价低 诚心卖！,2室,2厅,1卫,89.81,南,低层(共25层),2013年建造,雅仕兰庭,河东,富民路,月牙河南路35号,南 满五年 近地铁 绿化率高 ,174,19375
急售 60 金友花园 五    商品住宅 商圈成熟 电梯房,2室,1厅,1卫,81.76,南北,高层(共26层),2012年建造,金友花园,西青,大寺,赛达大道,南北 满五年 ,74,9051
高楼层视野好 满五   密度低 房龄新 南向采光好 有电梯,1室,1厅,1卫,61,南,高层(共33层),2014年建造,经纬城市绿洲华清家园,武清,杨村街,翠通路 近前进道,南 满五年 ,80,13115
新上万科金域华府精装三室 木色包 业主诚意卖 价格可谈,3室,2厅,1卫,92.22,南北,中层(共15层),2018年建造,万科金域华府蓝庭雅苑,东丽,津塘路,新明路,南北 满五年 近地铁 多人关注 ,108,11712
地铁5号线 南北通透H户型 好楼层 精装修 近市区 低市场价,2室,2厅,1卫,95.09,南北,高层(共18层),2012年建造,美域豪庭,西青,李七庄,昌凌路 近绥江道,南北 满五年 近地铁 ,187,19666
通透大两居 业主诚心出售 高铁旁 看房随时拎包入住房,2室,2厅,1卫,98,南,低层(共17层),2015年建造,盛世馨园,武清,杨村街,雍阳西道,南 满五年 ,119,12143
香雍玖和 低密度社区 高楼层视野无遮挡 正南朝向 停车方便,3室,2厅,1卫,100,南,高层(共24层),2022年建造,香雍玖和,武清,杨村街,光明道 近新兴路,南 满二年 绿化率高 人气热搜 ,125,12500
急售！新降价14万！经纬二期2室 中间楼层 首付18万 ！,2室,2厅,1卫,86.22,南,中层(共34层),2016年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南 热门小区 价格优惠 房东急售 ,90,10439
急售 央著洋房 精装两居 家具家电全送 有钥匙 随时看房,2室,2厅,1卫,88,南北,低层(共7层),2021年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,123,13978
雍鑫红星华府 电梯房 南北通透 2室2厅 86平 满五,2室,2厅,1卫,86,南北,中层(共15层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,南北 满五年 ,155,18024
北科建水岸华府 有电梯 出行方便 近地铁 车位充足 次新房,3室,1厅,1卫,96.94,南北,中层(共17层),2022年建造,北科建水岸华府,北辰,双街镇,创富路,南北 唯一住房 近地铁 车位充足 ,75,7737
生态城！宝龙城！  小三居精装 临地铁 次新房 带车位,3室,2厅,1卫,89.24,南北,低层(共11层),2021年建造,宝龙城北苑,滨海新区,中新生态城,海晨道,南北 满五年 次新房 ,105,11767
带电梯 朝南 大两房 密度低 满五,2室,2厅,1卫,95.18,南,低层(共12层),2008年建造,静湖花园(东区),武清,下朱庄街,清泉路 近嘉宁道,南 房东直卖 满五年 ,70,7355
河西区天塔街天资里1室1厅,1室,1厅,1卫,39.19,南,低层(共6层),1990年建造,天资里,河西,天塔,环湖东路 近黑牛城道,南 满二年 近地铁 ,115,29345
景考城区内   杨村一中 三中 天和 电梯商品房 拎包入住,2室,2厅,1卫,94.73,南,高层(共12层),2012年建造,景瑞花园,武清,徐官屯街,杨六路,南 房东直卖 满五年 ,66.5,7020
（保真）河西一P 闽侯路校 正规一室好转手 集体可Luo,1室,1厅,1卫,21.36,东,高层(共6层),2006年建造,福至里,河西,下瓦房,绍兴道43号,东 满五年 近地铁 ,128,59926
星河传奇新房 配套齐全 林海路  11中,4室,2厅,2卫,144,南北,中层(共7层),2023年建造,星河传奇东区,宝坻,海滨街,兴海路,南北 唯一住房 车位充足 ,125,8681
丰达园 商圈成熟 大两房 电梯房 正南朝向 精装修 拎包入住,2室,1厅,1卫,86,南,中层(共28层),2010年建造,丰达园,津南,咸水沽,津沽公路,南 满二年 ,75.1,8733
胡家园街 商业配套齐全 大两居 临地铁 楼龄新 中间好楼层,2室,1厅,1卫,89,南,中层(共34层),2017年建造,远洋城滨瑞花园,塘沽,胡家园街,远洋城一支路,南 满五年 ,87,9776
刚需两居 商品房 装修好 正南朝向 交通便捷 临地铁,2室,2厅,1卫,93,南,低层(共34层),2013年建造,国耀上河城,北辰,双街镇,双新大道 近顺境路,南 满五年 ,102,10968
 合适一套！宜清花园 河北区 洋房好楼层 近地铁 有  ,2室,1厅,1卫,72.17,南北,中层(共6层),2006年建造,宜清花园,河北,铁东路街,宜正路29号,南北 满五年 近地铁 ,110,15242
12月23号登记  劝业场 直管公产,1室,0厅,0卫,18,南北,共1层,1980年建造,清和南里,和平,劝业场,山西路,南北 近地铁 ,129,71667
12月5号登 和平一片 哈密道 独立厨卫 127万,1室,1厅,1卫,14.98,南北,共1层,1983年建造,山西路小区,和平,劝业场,山西路,南北 近地铁 ,127,84780
凤河孔雀城 满五 房龄新 有电梯 大两居 超低密度,2室,2厅,0卫,92,南北,低层(共18层),2014年建造,凤河孔雀城,武清,大王古庄镇,古旺路9号,南北 房东直卖 满五年 ,70,7609
梅江 2室2厅 93.83平米 南北通透,2室,2厅,2卫,93.98,南北,高层(共6层),2000年建造,瑞江花园梅苑,河西,梅江,大任庄北路 近梅江道,南北 近地铁 ,209,22239
次新小区 装修好 满二 南北通透 临地铁 带电梯,3室,2厅,2卫,93.8,南北,中层(共8层),2020年建造,融泰城,西青,李七庄,秀川路215号,南北 满二年 次新房 ,165,17591
金德园 带电梯 高楼层视野好 商业配套成熟 临地铁 近医院,2室,1厅,1卫,52,北,高层(共46层),2011年建造,金德园,和平,南营门,贵阳路79号,北 热门小区 近地铁 价格优惠 ,405,77885
汇丰园2室通厅户型  购物方便  总价低 价格可议,2室,2厅,1卫,94,南,高层(共18层),2014年建造,心港东城名都汇丰园,大港,古林街,海景六路,南 ,88,9362
兴安里 二楼 两室干净 急售看房方便,2室,1厅,1卫,75.52,南北,低层(共6层),2000年建造,兴安里,大港,迎宾街,育秀街119号,南北 满五年 ,75,9932
河东区凯旋门低楼层两室 临近地铁 小区环境好 价格可谈,2室,2厅,1卫,79.65,南北,低层(共29层),2022年建造,凯旋门,河东,中山门,月牙河北路 近津塘路,南北 满二年 近地铁 车位充足 ,153,19210
八区新上H户型 经.典户型南北通透二楼 好位置,2室,1厅,1卫,86.96,南北,共5层,2004年建造,水木天成阁林园,红桥,西沽街,团结环路 近江源东道,南北 ,195,22425
祥福园 精装好房 医疗配套成熟 电梯房 南北通透 商圈成熟,4室,2厅,0卫,187.87,南北,低层(共16层),2012年建造,祥福园,武清,杨村街,324省道,南北 满二年 ,160,8517
74万安悦园H户型 总价低 适合年轻人 价格可谈有钥匙随时看,2室,1厅,1卫,85.57,南北,高层(共6层),2004年建造,安悦园,北辰,宜兴埠,三千路,南北 满五年 近地铁 ,74,8648
闽侯路3号6楼直管公产房随时可看房,1室,0厅,0卫,23.52,东,高层(共6层),1995年建造,闽侯路小区,河西,下瓦房,闽侯路,东 满二年 近地铁 ,117,49745
八方观园精装两室 采光好 拎包入住 省去装修 地铁线,2室,1厅,1卫,98.21,南北,高层(共32层),2010年建造,八方观园,塘沽,西大沽街,天津大道 近水线路,南北 ,105,10692
蒲瑞和园(西区) 朝南 中间好楼层 带电梯杨村街,1室,1厅,1卫,62,南,中层(共17层),2011年建造,蒲瑞和园(西区),武清,杨村街,来源道,南 有电梯 ,55,8871
港韵新苑 楼龄新 精装好房 满五   大两居,2室,2厅,1卫,116.3,南,低层(共11层),2015年建造,港韵新苑,武清,汊沽港镇,富国路,南 满五年 ,85,7309
曹子里镇 南北通透 大两居 有电梯 中间好楼层 满二  ,2室,2厅,1卫,94,南北,中层(共11层),2012年建造,花都新苑,武清,曹子里镇,杨六路,南北 满二年 ,55.8,5937
融创御园 业主急售！！MU送式 采光充足 视野开阔 次新房,3室,2厅,1卫,97.87,南北,低层(共32层),2018年建造,融创御园,北辰,北仓,北辰道,南北 唯一住房 车位充足 ,170,17370
商业配套齐全 近地铁 装修好 医疗配套成熟 出行方便,1室,1厅,1卫,38,北,低层(共7层),1986年建造,天泉西里,河东,东新街,成林道,北 热门小区 近地铁 新上小区 ,55,14474
挥泪卖福锦园 南北通透两室 采光好 业主急售 看房方便 急急,2室,1厅,1卫,91.31,南,高层(共6层),2012年建造,港东未来城,大港,古林街,港东六道,南 ,91,9967
绅湖公馆 电梯洋房 婚房 地铁房 有钥匙    校 班车接送,3室,2厅,1卫,91,南北,高层(共8层),2017年建造,绅湖公馆,塘沽,滨海高新区,滨海湖路,南北 满五年 多人关注 ,47,5165
梅江 商业配套成熟 大两居 次新小区 有电梯 满二 朝南,2室,2厅,1卫,95.27,南,低层(共24层),2023年建造,龙湖天曜,河西,梅江,梅江道,南 满二年 近地铁 次新房 ,354,37158
西大沽街 带电梯 满五 商品房 高楼层采光充足 刚需两居,2室,2厅,1卫,91,南北,高层(共33层),2000年建造,贻成泰和新都,塘沽,西大沽街,天津大道,南北 满五年 ,71,7803
水木天成新上二楼好户型明厅南北通透采光哈,2室,1厅,1卫,85.88,南北,低层(共6层),2006年建造,水木天成闻涛园,红桥,咸阳北路街,团结环路,南北 ,185,21542
恒大97平 纯新房好楼层 自持物业随时都可以看房,2室,2厅,0卫,97.05,南,高层(共32层),2016年建造,恒大山水城(东区),武清,泗村店镇,碱东路,南 满五年 车位充足 ,50,5152
诗景颂苑 低密度社区 满五   临地铁 出行方便 南向采光好,2室,1厅,1卫,90,南,中层(共32层),2013年建造,诗景颂苑,河北,建昌道街,迎春道389号,南 满五年 近地铁 ,190,21112
中海公园城秀湖苑 次新小区 满二   大两居 电梯房,2室,2厅,1卫,85,南北,低层(共33层),2019年建造,中海公园城秀湖苑,津南,津南八里台,天嘉湖大道,南北 满二年 次新房 ,49,5765
天华园 通透户型 好楼层 随时看房 无尾款 房主诚意出售,2室,2厅,1卫,98,南北,高层(共18层),2014年建造,天华园,武清,王庆坨镇,同旺路,南北 满二年 户型方正 ,46,4694
鸿儒新园(南区) 大两房 带电梯 朝南 满五  ,2室,1厅,1卫,82,南,低层(共26层),2013年建造,鸿儒新园(南区),津南,北闸口,泽惠道,南 满五年 ,78,9513
生态城 新城金樾府 精装洋房三居室 南北通透 一楼带院 急售,3室,2厅,1卫,88.56,南北,低层(共7层),2023年建造,新城金樾府,滨海新区,中新生态城,安定路 近海旭道,南北 满五年 车位充足 ,168,18971
荣悦园 板楼 电梯房 商业配套成熟 集中供暖 大产权,2室,1厅,1卫,82.93,南北,低层(共26层),2018年建造,荣悦园,北辰,青光,外环西路,南北 满五年 ,72,8683
大胡同街 带电梯 产权清晰 商业配套成熟 近地铁,2室,2厅,1卫,89.31,南,高层(共32层),2010年建造,北开花园,红桥,大胡同街,北开大街6号,南 满五年 近地铁 车位充足 ,206,23066
5十 5十蒲瑞和园(西区) 正南朝向  带电梯 包改名,1室,1厅,1卫,62,南,中层(共17层),2011年建造,蒲瑞和园(西区),武清,杨村街,来源道,南 满二年 ,55,8871
悦公馆 全阳户型  三期毛坯房 有钥匙 随时看房 前排无遮挡,2室,2厅,1卫,91,南,中层(共18层),2018年建造,悦公馆,武清,王庆坨镇,同旺路2号,南 满二年 车位充足 户型方正 ,35,3847
瑞庭颂苑 大两房 交通便捷 满五   有电梯 商业配套成熟,2室,1厅,1卫,87.5,南,高层(共27层),2013年建造,瑞庭颂苑,河北,建昌道街,杜鹃道,南 满五年 近地铁 车位充足 ,178,20343
静壹城。电梯高层。精装两室一卫。采光充足。价位可议,2室,1厅,1卫,84,南北,中层(共26层),2017年建造,静壹城,静海,静海镇,春熙道,南北 满五年 ,78.8,9381
高新区 绅湖公馆 通透两室 位置好 看房随时,2室,2厅,1卫,87,南北,高层(共22层),2010年建造,绅湖公馆,塘沽,滨海高新区,滨海湖路,南北 满二年 多人关注 ,57,6552
带电梯 满五 商品房 临地铁 商业配套成熟 交通便利,2室,2厅,1卫,82,东西,中层(共34层),2020年建造,远洋城滨雅花园,塘沽,胡家园街,远洋一支路,东西 满五年 次新房 ,74,9025
近地铁 商业配套齐全 交通便捷 大两房 正规商品房 电梯房,2室,2厅,1卫,83.67,东北,中层(共30层),2007年建造,尚佳新苑,南开,鼓楼,北城街1351号,东北 满五年 近地铁 户型方正 ,373,44580
北岸尚城 满二 产权清晰 正南朝向 精装修 高楼层采光充足,3室,2厅,1卫,115.6,南,高层(共6层),2009年建造,北岸尚城,武清,杨村街,翠通路 近强国道,南 满二年 多人关注 ,89,7699
金悦府 通透户型 送家具家电 送地下室 前排无遮挡   ,2室,2厅,1卫,97,南北,低层(共18层),2018年建造,顺佳金悦府,武清,王庆坨镇,中心街,南北 满五年 ,70,7217
城际美景 出行方便 南北通透 满五   大两居 商品房,2室,2厅,1卫,84.58,南北,中层(共6层),2008年建造,城际美景,北辰,双街镇,双川道 近双辰北路,南北 满五年 ,75,8868
津南八里台 刚需小三居 精装可拎包入住 次新小区,3室,2厅,1卫,89,南,中层(共7层),2021年建造,爱情花园里熙悦北苑,津南,津南八里台,丰泽道,南 有电梯 车位充足 ,86,9663
有电梯 交通便利 近地铁 房龄新 刚需小三居 正南朝向,3室,2厅,1卫,94,南,中层(共24层),2015年建造,远洋万和城,西青,大寺,梨双路,南 满五年 ,187,19894
刚需小三居 产权清晰 满二   南向采光好 装修好 有电梯,3室,2厅,1卫,87,南,低层(共26层),2013年建造,鸿儒新园(南区),津南,北闸口,泽惠道,南 满二年 ,95,10920
（津科优选）睦华里 次新房 精装2室 小高层 带车位 近地铁,2室,1厅,1卫,90,东南,中层(共18层),2012年建造,睦华里,红桥,铃铛阁街,怡德路47号,东南 满五年 近地铁 绿化率高 ,265,29445
精装好房 小区新 南北通透 商圈成熟 大两居 满五  ,2室,1厅,1卫,84.03,南北,低层(共11层),2016年建造,旭辉澜郡澜郡庭苑,塘沽,胡家园街,海兴路 近和角路,南北 满五年 ,80,9521
凤河孔雀城98平米精装修83万,3室,1厅,1卫,98.85,南北,低层(共23层),2014年建造,凤河孔雀城,武清,大王古庄镇,古旺路9号,南北 满五年 ,83,8397
海邻园 电梯洋房好楼层 两室通厅   位置 拎包入住,2室,2厅,1卫,95.42,南北,中层(共9层),2012年建造,泰达风景,大港,古林街,海景二路,南北 满五年 车位充足 采光较好 ,110,11528
南湖   南湖中学 花郡家园 带装修两句低总价,2室,1厅,1卫,79,南,低层(共15层),2013年建造,花样年花郡,武清,下朱庄街,天和路 近于庄路,南 满二年 ,58,7342
世侨唐墅 有电梯 小区新 中间楼层 三居室 送车位 送地下室,3室,2厅,1卫,98.96,南北,中层(共27层),2015年建造,世侨唐墅,武清,大王古庄镇,古达路,南北 满二年 ,80,8085
鸿儒新园(北区) 正规商品房 小区新 有电梯 刚需小三居,3室,2厅,1卫,94.91,南,低层(共18层),2015年建造,鸿儒新园(北区),津南,北闸口,津岐公路 近泽惠道,南 满二年 车位充足 ,71,7481
凤河孔雀城 南北通透三居室73w 边户 拎包入住 随时看房,3室,1厅,1卫,91,南北,低层(共27层),2016年建造,凤河孔雀城,武清,大王古庄镇,古旺路9号,南北 满五年 ,75,8242
靖江路街 交通便捷 中间楼层 近医院 商圈成熟 满五,2室,1厅,1卫,61,南北,中层(共6层),1990年建造,靖江南里,河北,靖江路街,靖江北路 近雅砻江道,南北 满五年 近地铁 ,79,12951
新上绿城通透小三居 采光好价位合适 诚意出售,3室,2厅,1卫,89,南北,低层(共16层),2021年建造,绿城桂语听蘭,东丽,空港经济区,东八道,南北 满二年 次新房 ,195,21911
碧春园  电梯房 简单装修 满五  住房 58平 有钥匙,2室,1厅,1卫,58.99,东南,高层(共24层),2010年建造,碧春园,红桥,双环邨街,辰兴路 近南仓道,东南 满二年 近地铁 户型方正 ,63,10680
纯新次新房 满五   精装三室 通透户型,3室,2厅,1卫,89,南北,低层(共9层),2023年建造,雅居乐滨河雅郡,滨海新区,中新生态城,中生大道,南北 有电梯 次新房 ,75,8427
