待售房屋,室,厅,面积(平方米),楼层,小区名称,区,镇,道路,标签,价格,价格单位
新城樾风华翠樾园 3室2厅2卫 2000.0元 电梯房,3,2,121.3,低层(共18层)                                                    ,新城樾风华翠樾园,北辰,小淀,小淀路,,2000,元/月
精装修低楼层 拎包入住非常干净 出行交通方便 周边配套完善。,1,1,40,中层(共6层)                                                    ,旭日里,北辰,果园新村,果园东路6号,"配套齐全,南北通透,有阳台,随时看房,",900,元/月
凤玉里 1室1厅1卫 精装修 31平 配套齐全,1,1,31,高层(共7层)                                                    ,凤玉里,南开,广开街,广开新街21号,"邻地铁,配套齐全,精装修,",2000,元/月
枫情阳光城 2室1厅1卫,2,1,80.44,中层(共30层)                                                    ,枫情阳光城,津南,津南八里台,天嘉湖大道,"可短租,南北通透,有阳台,首次出租,",1400,元
广开街怀仁里一室一厅一卫精装中楼层,1,1,41.08,中层(共7层)                                                    ,怀仁里,南开,广开街,广开大街10号,"邻地铁,配套齐全,精装修,",2600,元/月
裕欣楼 3室1厅1卫 900.0元 115.0平米,3,1,115.0,高层(共6层)                                                    ,裕欣楼,静海,静海镇,联盟大街12号,,900,元/月
和平中心 西康路地铁站旁 精装一室 配套全齐拎包入住随时看房,1,1,28,共5层                                                    ,天兴里,和平,南营门,昆明路70号,"邻地铁,配套齐全,精装修,",1700,元/月
金侨宸公馆一期阁楼出租，小区环境好，直降800元，包取暖费。,1,1,55,高层(共11层)                                                    ,金侨宸公馆(一期),北辰,天穆,南仓道,"随时看房,",1800,元/月
(上新)名居花园南向一居室 采光好 家具家电齐全拎包入户,1,1,67.0,中层(共14层)                                                    ,名居花园,东丽,空港经济区,"东五道,近中环东路",,2200,元/月
新上！奥城底商带门面有园 价格能议 随时看房 中间楼位流量大,3,2,194,低层(共20层)                                                    ,时代奥城,南开,体育中心,宾水西道,"邻地铁,配套齐全,精装修,",12000,元/月
龙顺园家具家电齐全拎包入住 1室1厅1卫 51平,1,1,51.59,低层(共18层)                                                    ,龙顺园,西青,大寺,泽润路,,1500,元/月
前程里(河西) 2室1厅1卫 69平 配套齐全 南北通透,2,1,69,高层(共6层)                                                    ,前程里(河西),河西,挂甲寺,"隆昌路,近爱国道","邻地铁,配套齐全,精装修,",4000,元/月
地铁7号线 九八三医院 河北中心小学 美术中学 新开小学,1,1,37,中层(共7层)                                                    ,日方里,河北,鸿顺里街,五马路122号,"邻地铁,配套齐全,精装修,",1600,元/月
沁风御庭 3室1厅2卫,3,1,145,共5层                                                    ,沁风御庭,滨海新区,中新生态城,和旭路,,2100,元
荣业园 1室1厅1卫 1500.0元 电梯房 62.0平米,1,1,62.0,中层(共18层)                                                    ,荣业园,北辰,青光,外环西路,,1500,元/月
阳光城未来悦 精装三室拎包入住随时看房,3,2,89.0,低层(共7层)                                                    ,阳光城未来悦,津南,海河教育园区,"福明路,近雅馨路","邻地铁,配套齐全,精装修,",2400,元/月
盛锦园 2室1厅1卫 1300.0元 电梯房 76.66平米,2,1,76.66,低层(共18层)                                                    ,盛锦园,北辰,青光,新景道,,1300,元/月
义兴里 新房源 临近海光寺地铁1号线 融侨中心 拎包入住合适,1,1,37,高层(共6层)                                                    ,义兴里,南开,万兴街,南丰路55号,"邻地铁,配套齐全,精装修,",2300,元/月
可月付 有免费200兆宽带 密码锁 随时看房 6号线地铁站旁,1,1,45,低层(共19层)                                                    ,花样年喜年广场,河西,梅江南,"解放南路,近浯水道","邻地铁,押一付一,配套齐全,",2100,元/月
整租 红波里 精装一室 紧邻万象城 西南楼地铁 越秀路菜市场,1,1,37,中层(共7层)                                                    ,红波里,河西,越秀路,"围堤道,近白云路","邻地铁,配套齐全,精装修,",2000,元/月
宣惠园 1室1厅1卫 1000.0元 电梯房 65.0平米,1,1,65.0,中层(共26层)                                                    ,宣惠园,津南,北闸口,宣惠路,,1000,元/月
春熙云峰 三室两卫 没有家具 家电 裸房随时入住 随时看房,3,2,122,中层(共6层)                                                    ,绿城春熙云峰春熙苑,静海,静海镇,春熙道,"配套齐全,南北通透,有阳台,首次出租,",1600,元/月
音乐学院附近 丰盛园92平米3居室家具家电齐全拎包入住,3,2,92,低层(共11层)                                                    ,丰盛园,河东,大王庄,"八纬路,近十五经路","邻地铁,配套齐全,精装修,",5500,元/月
广场附近精装两室，齐全拎包入住，随时看房有钥匙,2,1,76,共5层                                                    ,长青里,西青,杨柳青,青沙路,"精装修,南北通透,",1100,元/月
领世郡 常春藤北区电梯小高层 三居室 精装修 拎包住 随时看,3,2,100,中层(共10层)                                                    ,红磡领世郡常春藤,津南,双港,领世环路,"邻地铁,配套齐全,精装修,",4000,元/月
怀仁里 精装修  家具齐全  拎包入住,1,1,39.02,高层(共7层)                                                    ,怀仁里,南开,广开街,广开大街10号,"邻地铁,配套齐全,精装修,",2000,元/月
海光寺地铁站附近 义兴南里 南丰里 灵隐道旁 环境好居住舒适,1,1,28.32,高层(共7层)                                                    ,义兴南里,南开,万兴街,南丰路138号,,1600,元/月
接受短租 领秀城两居 拎包入住 随时看有电梯 550月,2,2,86,低层(共22层)                                                    ,灵秀丽苑,宝坻,海滨街,津围公路,"配套齐全,有阳台,随时看房,",550,元/月
饶河里 2室1厅1卫 1200.0元 53.0平米,2,1,53.0,中层(共6层)                                                    ,饶河里,北辰,集贤里,泰来道,,1200,元/月
南开红旗南路地铁站附近一室精装修出租,1,1,40,高层(共6层)                                                    ,迎水东里,南开,王顶堤,红旗南路,"邻地铁,精装修,南北通透,",2100,元/月
育红东里可短租 全齐干净2室 看房方便 生活便利 交通方便,2,1,58.53,共5层                                                    ,育红东里,河北,建昌道街,育红路7号,"邻地铁,配套齐全,南北通透,",1500,元/月
校苑小区 1室1厅1卫,1,1,30,共5层                                                    ,校苑小区,武清,汊沽港镇,104国道,"押一付一,南北通透,",600,元
金街二室房子出租  交通特别方便,2,1,59,高层(共6层)                                                    ,吉祥里,塘沽,解放路街,解放路668号,"配套齐全,精装修,南北通透,",1400,元/月
雅致里  1室1厅 出门就是地铁一号线和10号线,1,1,50,高层(共6层)                                                    ,雅致里(北区),河西,柳林,雅致道,"邻地铁,精装修,",1600,元/月
汉沽六中附近三明里两室一厅拎包入住双气！,2,1,50,共3层                                                    ,三明里,汉沽,河西,三经路,"配套齐全,南北通透,有阳台,随时看房,",780,元/月
丹凤里 1室1厅1卫 1000.0元 43.0平米,1,1,43.0,中层(共6层)                                                    ,丹凤里,北辰,果园新村,中学西路,,1000,元/月
整租  鸿顺里街  元吉里  1室1厅,1,1,39.77,高层(共7层)                                                    ,元吉里,河北,鸿顺里街,黄纬路1号,"邻地铁,配套齐全,",1450,元/月
整租  二号桥  福庭里  2室1厅,2,1,78.46,高层(共6层)                                                    ,福庭里,河东,二号桥,电传路,"邻地铁,",1450,元/月
整租  双环邨街  佳园北里  2室1厅,2,1,60,高层(共7层)                                                    ,佳园北里,红桥,双环邨街,"佳宁道,近辰昌路","邻地铁,",2000,元/月
瀛台里 南北通透  普通装修干净  拎包入住  随时看房,2,1,76.0,低层(共6层)                                                    ,瀛台里,北辰,果园新村,北医道,"配套齐全,南北通透,有阳台,首次出租,",1500,元/月
招商蛇口云顶广场  随时看房有钥匙  随时入住,1,1,30,高层(共14层)                                                    ,招商局网谷企业街区,武清,豆张庄镇,"滨湖路,近新平路","配套齐全,南北通透,有阳台,首次出租,",850,元/月
出租翡翠湾两室年租金9000，有钥匙，随时可以看房,2,1,90,高层(共6层)                                                    ,翡翠湾景园,武清,汊沽港镇,汉王路,"配套齐全,精装修,南北通透,有阳台,",750,元/月
房源采光好，南北通透，业主诚意出,2,1,79.64,低层(共11层)                                                    ,瑞益园,北辰,瑞景街,"龙门道,近辰旺路","邻地铁,配套齐全,有阳台,",2000,元/月
虎林里 1室1厅1卫 1100.0元 54.0平米,1,1,54.0,共5层                                                    ,虎林里,北辰,集贤里,延吉道,,1100,元/月
中等装修，拎包入住，，，，，,2,1,65,共4层                                                    ,港中双丰小区,大港,港西,双丰路,"配套齐全,南北通透,有阳台,随时看房,",700,元/月
级升里 1室1厅1卫 22平 精装修,1,1,22.68,高层(共6层)                                                    ,级升里,南开,广开街,黄河道60号,"邻地铁,精装修,",2200,元/月
富瀛洲花园 南北通透 电梯房 家电齐全 拎包入住,3,2,122,中层(共24层)                                                    ,富瀛洲花园,河北,建昌道街,红星路14号,"邻地铁,配套齐全,南北通透,",2800,元/月
丹江里 2室1厅1卫 1600.0元 精装修58.45平米,2,1,58.45,高层(共6层)                                                    ,丹江里,河北,靖江路街,岷江路,"邻地铁,精装修,",1600,元/月
东升里 普通装修 干净卫生 周边配套齐全 随时看房,1,1,44.92,高层(共6层)                                                    ,东升里(北辰),北辰,果园新村,果园北道36号,"配套齐全,精装修,有阳台,首次出租,",900,元/月
真的很不错    要不要来看看   都可以聊  随时看,2,1,82.0,高层(共6层)                                                    ,聚龙园,北辰,双街镇,顺境路212号,,1500,元/月
可短租  金利来蛋糕店后边   2楼的楼房出租,3,1,110,低层(共6层)                                                    ,中保宏发楼,宝坻,宝平街,南关大街,"配套齐全,南北通透,有阳台,随时看房,",800,元/月
整租  宁园街  富秀园  1室1厅,1,1,54.2,中层(共7层)                                                    ,富秀园,河北,宁园街,中纺前街38号,"邻地铁,",1750,元/月
出租大寺亲亲家园两室一厅，家电齐全，拎包入住，随时看房,2,1,80,高层(共6层)                                                    ,金泽园,西青,大寺,幸福道,"配套齐全,有阳台,随时看房,",1800,元/月
饶河里 1室1厅1卫,1,1,40,中层(共6层)                                                    ,饶河里,北辰,集贤里,泰来道,"配套齐全,南北通透,",900,元
天塔街，宾水里中楼层，家具家具齐全，拎包入住,1,1,33,共5层                                                    ,宾水里,河西,天塔,卫津南路37号,"邻地铁,配套齐全,有阳台,",1500,元/月
新桥里 1室1厅1卫 1100.0元 41.2平米,1,1,41.2,共5层                                                    ,新桥里,塘沽,西大沽街,万年桥北路,,1100,元/月
融创东岸名郡 3室2厅2卫 1700.0元 电梯房,3,2,135.0,高层(共22层)                                                    ,融创东岸名郡,北辰,双街镇,小街新苑路,,1700,元/月
果园里 1室1厅1卫 1100.0元 56.85平米,1,1,56.85,高层(共6层)                                                    ,果园里,北辰,果园新村,果园中道,,1100,元/月
月付 人人乐力扬国际个人直租 电梯房可做饭,1,1,42.69,低层(共6层)                                                    ,赤龙家园,西青,大寺,友谊南路,"押一付一,配套齐全,精装修,南北通透,",900,元/月
华江里 一室一厅 南北通透 有钥匙,1,1,41,高层(共6层)                                                    ,华江里,河西,小海地,辰水道1号,"邻地铁,配套齐全,南北通透,",1350,元/月
出租育才里可短租 可长租紧邻咸一中 月坛 华润 公交站拎包入,2,1,77.11,高层(共6层)                                                    ,育才里(津南),津南,咸水沽,"红旗路,近津沽大街","配套齐全,南北通透,有阳台,",1000,元/月
风致里两室一厅   有钥匙  家具家电齐全   拎包入住,2,1,60,中层(共6层)                                                    ,风致里,河西,柳林,东江道11号,"邻地铁,配套齐全,精装修,",1700,元/月
万新村武警医院对面5楼精装独单出租1400月可议,1,1,28,高层(共6层)                                                    ,天泉西里,河东,东新街,成林道,"邻地铁,配套齐全,精装修,",1400,元/月
可月付短租 姚村夜市大学城3号线 工大师大 华苑海泰高新区,1,0,30,低层(共6层)                                                    ,姚村景福花园,西青,精武,工一号路,"押一付一,配套齐全,精装修,南北通透,",1208,元/月
可短租，押一付一 五号线昌凌路 大津城购物中心 鹏展非沃大厦,1,0,40,共5层                                                    ,悦雅花园(AC区),西青,李七庄,昌凌路,"邻地铁,押一付一,配套齐全,",1300,元/月
华宁南里1室精装修，随时入住随时看房,1,1,46.9,中层(共6层)                                                    ,华宁南里,南开,天拖南,楚雄道77号,"邻地铁,配套齐全,精装修,",1800,元/月
地铁站旁陪读看过来 大两室全明户型 家具家电可配齐 看房方便,2,1,101,高层(共24层)                                                    ,观云里,和平,南营门,新兴路66号,"邻地铁,精装修,首次出租,",5200,元/月
财大地铁站旁 景致里省心租  押一付一 免中介费,2,1,60,中层(共6层)                                                    ,景致里,河西,柳林,东江道8号,"邻地铁,配套齐全,精装修,",1800,元/月
堤中里一楼一居 随时可看房 业主管保洁,1,1,47.49,低层(共6层)                                                    ,堤中里,南开,王顶堤,艳阳路,"邻地铁,配套齐全,精装修,",1900,元/月
房子精装修1楼的带小院，业主人很好随时入住随时看房。,2,1,47.95,低层(共7层)                                                    ,园荫北里,南开,王顶堤,园荫道24号,"邻地铁,配套齐全,精装修,",3000,元/月
伊顿玫瑰 新上小两室 精装修 家电齐全 随时看房我有钥匙,2,1,66,中层(共30层)                                                    ,伊顿玫瑰公寓,南开,兴南街,"三马路,近南开二纬路","邻地铁,配套齐全,精装修,",4700,元/月
彩丽园 2室2厅1卫 电梯房 南北通透 精装修,2,2,90.99,中层(共24层)                                                    ,彩丽园,河东,鲁山道,"祁连路,近彩丽环路","邻地铁,精装修,南北通透,",2300,元/月
可短租月付 1号线财经大学地铁站 天津科技大学 职业师范大学,1,1,60,低层(共6层)                                                    ,宽福里,河西,柳林,艺林路,"邻地铁,押一付一,配套齐全,",1800,元/月
金科天湖南苑 1263室 自住房出租 电梯房,3,2,126,低层(共8层)                                                    ,金科天湖南苑,静海,团泊镇,常德道,"配套齐全,南北通透,首次出租,随时看房,",2000,元/月
碧春园 2室1厅1卫 1800.0元 电梯房 精装修,2,1,64.33,高层(共36层)                                                    ,碧春园,红桥,双环邨街,"辰兴路,近南仓道","邻地铁,精装修,",1800,元/月
房子精装修，随时看房随时入住4楼的业主人很好。,2,1,40,中层(共6层)                                                    ,林苑北里,南开,王顶堤,林苑道36号,"邻地铁,配套齐全,精装修,",2600,元/月
六合里(滨海) 2室2楼  刚做的保洁 55平 南北通透,2,1,55,共4层                                                    ,六合里(滨海),大港,迎新街,胜利街872号,"配套齐全,精装修,南北通透,有阳台,",1200,元/月
梅江康城益康园 2室1厅1卫 88平 南北通透 电梯房,2,1,88,中层(共27层)                                                    ,梅江康城益康园,西青,大寺,梨双公路,"南北通透,首次出租,随时看房,",2800,元/月
律笛里守万达广场   扶轮中学  北站地铁站  靠四中心急租,1,1,52.31,高层(共6层)                                                    ,律笛里,河北,鸿顺里街,"律纬路,近三马路","邻地铁,配套齐全,精装修,",1669,元/月
可月付 3号线大学城站 姚村夜市 卓尔商城 师范大学 津涞路,1,0,30,中层(共6层)                                                    ,富家湾,西青,精武,付村路,"押一付一,配套齐全,精装修,南北通透,",1300,元/月
华江里 1室1厅1卫 25平 精装修 配套齐全,1,1,40,中层(共6层)                                                    ,华江里,河西,小海地,辰水道1号,"邻地铁,配套齐全,精装修,",1350,元/月
可短租 可月付 二号线五号线靖江路 河东万达 远洋国际顺驰桥,1,0,30,中层(共9层)                                                    ,一品家园,河东,常州道,卫国道157号,"邻地铁,押一付一,配套齐全,",1400,元/月
爱琴海多功能写字楼！真正办公大户型好房！阳面4室还有储物间！,4,1,83.52,高层(共30层)                                                    ,红星大厦,河东,上杭路,琳科西路,"邻地铁,配套齐全,精装修,",6400,元/月
向阳街 福园里 2室精装 配套齐全 低楼层 拎包入住 邻市场,2,1,70,中层(共6层)                                                    ,福园里,塘沽,向阳街,向阳北街,"邻地铁,配套齐全,精装修,",1500,元/月
临3号6号线地铁，园荫里精装修一居，低楼层，朝向好，拎包入住,1,1,57.31,低层(共6层)                                                    ,园荫里,南开,王顶堤,苑东路,"邻地铁,配套齐全,精装修,",2000,元/月
大港区 重阳里 一室一厅 4楼 精装修 位置好 干净整洁拎包,1,1,40,共5层                                                    ,重阳里,大港,迎宾街,世纪大道80号,"配套齐全,精装修,南北通透,有阳台,",1100,元/月
整租 福盛花园 精装大一室 下瓦房地铁站旁边 恒华大厦对过,1,1,45,高层(共17层)                                                    ,福盛花园,河西,下瓦房,福建路84号,"邻地铁,配套齐全,精装修,",2600,元/月
整租 重建里 干净两室 海河中学对过 紧邻下瓦房地铁站 急租,2,1,22.35,共5层                                                    ,重建里,河西,大营门,解放南路291号,"邻地铁,配套齐全,精装修,",2600,元/月
出租仁和园，两室一厅精装修，拎包入住。,2,1,88,高层(共9层)                                                    ,仁和园(津南),津南,双港,梨双公路,"邻地铁,配套齐全,精装修,",1700,元/月
金水湾(武清) 2室2厅1卫 电梯房  精装修.价位可议,2,1,65,低层(共26层)                                                    ,金水湾(武清),武清,王庆坨镇,津同公路151号,"配套齐全,精装修,有阳台,首次出租,",900,元/月
整租  中山门街  友爱东道  2室1厅,2,1,60,高层(共6层)                                                    ,友爱东道小区,河东,中山门,友爱东道,"邻地铁,精装修,",2000,元/月
新出二中旁精装两室 拎包入住 采光好 赠送周保洁 实景照片,2,1,104,高层(共25层)                                                    ,万通新城国际,开发区,第四大街,时尚西路19号,"邻地铁,押一付一,配套齐全,",3300,元/月
照湖里  年底好房 临近天津大学 时代数码 百脑汇 诚心出租,1,1,38,共5层                                                    ,照湖里,南开,学府街,湖镜道1号,"配套齐全,精装修,有阳台,",1900,元/月
建设路小区 两室 拎包入住 随时看房 三中附近,2,1,89,中层(共6层)                                                    ,建设楼(宝坻),宝坻,宝平街,建设路,"配套齐全,精装修,南北通透,有阳台,",600,元/月
瑞竹大厦，拎包入住，血液研究所对过，配套齐全,2,1,50,低层(共19层)                                                    ,瑞竹大厦,和平,南营门,南京路239号,"邻地铁,配套齐全,精装修,",3800,元/月
免中介，候台一室精装好房，先到先得，价格美丽,1,1,45,高层(共6层)                                                    ,侯台家园,西青,侯台,楚雄西道,"押一付一,配套齐全,精装修,有阳台,",1350,元/月
整租  宜兴阜  富宜里  1室1厅,1,1,37.66,中层(共6层)                                                    ,富宜里,北辰,普东街,国宜道,"邻地铁,",1400,元/月
风光里 1室1厅1卫,1,1,36,高层(共7层)                                                    ,风光里,红桥,丁字沽街,"光荣道,近丁字沽二号路","邻地铁,",1700,元
翠萍园 2室1厅1卫,2,1,71.94,高层(共6层)                                                    ,翠萍园,北辰,宜兴埠,爱贤道,"邻地铁,配套齐全,南北通透,",1300,元
盈江里1室，很干净，采光好，楼层低，无遮挡，看房方便,1,1,30,中层(共6层)                                                    ,盈江里,南开,天拖南,"华宁道,近盈江路","邻地铁,配套齐全,南北通透,",1600,元/月
靠近地铁7号线 高性价比 配套设施齐全 高层不到顶 拎包入住,2,1,51.08,高层(共6层)                                                    ,胜天里,河北,鸿顺里街,黄纬路32号,"邻地铁,配套齐全,有阳台,",1698,元/月
出租金旺佳园简单装修2室1厅 空房 四楼 实拍,2,1,95,中层(共6层)                                                    ,金旺佳园,西青,大寺,津涞公路,"邻地铁,配套齐全,南北通透,",1600,元/月
整租  张贵庄街  永平巷  2室1厅,2,1,44.94,共5层                                                    ,永平巷,东丽,利津路,津塘路,"邻地铁,",1500,元/月
天华里1室一厅阳光明亮交通方便紧邻学校商圈配套,1,1,61.27,中层(共6层)                                                    ,天华里(南开),南开,华苑,"华苑路,近锦环道","邻地铁,配套齐全,南北通透,",3200,元/月
限时半价！自家直租 押一付一没有中介费！随时看 可立即入住,1,1,43,中层(共6层)                                                    ,赤龙家园,西青,大寺,友谊南路,"押一付一,配套齐全,南北通透,有阳台,",900,元/月
南开王顶里一室拎包入住性价比高随时看房,1,1,32,中层(共6层)                                                    ,凤园里,南开,王顶堤,红旗南路,"邻地铁,随时看房,",1500,元/月
碧春园 2室1厅1卫 1800.0元 电梯房 63.95平米,2,1,63.95,低层(共36层)                                                    ,碧春园,红桥,双环邨街,"辰兴路,近南仓道","邻地铁,",1800,元/月
整租  向阳楼街  阳新里  1室1厅,1,0,20.71,低层(共6层)                                                    ,阳新里,河东,向阳楼,万东路,"邻地铁,",1200,元/月
广开街级升里低楼层一室一厅一厨一卫,1,1,35.47,低层(共6层)                                                    ,级升里,南开,广开街,黄河道60号,"邻地铁,配套齐全,有阳台,",2300,元/月
宝福家园 1室1厅1卫 58平 电梯房,1,1,58.08,高层(共28层)                                                    ,宝福家园,津南,双港,"渌水道,近桐林路","邻地铁,",1700,元/月
整租  光复道街  瑞海大厦  1室1厅,1,0,23,低层(共29层)                                                    ,瑞海大厦,河北,光复道街,建国道92号,"邻地铁,",1600,元/月
八七大楼一室干净整洁低楼层 13中对面拎包入住 交通便利,1,1,37.32,低层(共6层)                                                    ,八七楼,河西,柳林,大沽南路,"邻地铁,",1700,元/月
绥中楼，低楼层，出小区就是地铁站，全齐，拎包入住,2,1,53.93,共5层                                                    ,绥中楼,红桥,咸阳北路街,"丁字沽三号路,近绥中路","邻地铁,",1600,元/月
双安里   两室   房子干净温馨  有钥匙,2,1,39,共4层                                                    ,双安里,大港,胜利街,迎宾街102号,"配套齐全,有阳台,随时看房,",800,元/月
康汇医院附近 整租一室 精装全齐拎包住无中介费 随时看 月付,1,1,45,高层(共6层)                                                    ,赤龙家园,西青,大寺,友谊南路,"押一付一,配套齐全,南北通透,有阳台,",900,元/月
水墨兰庭 2室1厅1卫 1400.0元 86.0平米,2,1,86.0,低层(共6层)                                                    ,水墨兰庭,津南,小站,付营路,,1400,元/月
佳园南北里精装一室一厅，领包入住，近地铁,1,1,43,中层(共6层)                                                    ,佳园北里,红桥,双环邨街,"佳宁道,近辰昌路","邻地铁,配套齐全,南北通透,",1600,元/月
人安里 2室1厅1卫 900.0元 82.0平米,2,1,82.0,高层(共6层)                                                    ,人安里,津南,北闸口,政和路,,900,元/月
整租  宜兴阜  今日家园  1室1厅,1,1,49.45,高层(共7层)                                                    ,今日家园,北辰,普东街,"三千路,近宜白路","邻地铁,配套齐全,",1400,元/月
松江里 1室1厅1卫 51平,1,1,51.5,中层(共6层)                                                    ,松江里,河西,小海地,双水道,"邻地铁,",1500,元/月
天霖园 1室1厅1卫 4500.0元 电梯房 70.0平米,1,1,70.0,低层(共26层)                                                    ,天霖园,南开,鼓楼,"西马路,近鼓楼西街","邻地铁,",4500,元/月
临近地铁3和5号线 出门菜市场 宜兴阜 今日家园  3室1厅,3,1,102,高层(共6层)                                                    ,今日家园,北辰,普东街,"三千路,近宜白路","邻地铁,押一付一,精装修,",2000,元/月
天山龙玺 1室0厅1卫 750.0元 电梯房 56.77平米,1,0,56.77,高层(共15层)                                                    ,天山龙玺,津南,小站,"昌盛路,近天山路","配套齐全,南北通透,有阳台,",750,元/月
风湖里 百脑汇 万科时代中心 南大天大 鞍山西道地铁,1,1,42.86,高层(共6层)                                                    ,风湖里,南开,学府街,鞍山西道307号,"邻地铁,配套齐全,有阳台,",1550,元/月
延安里急租两室，价可谈，津塘公路，轻轨站，四季广场，装饰城！,2,1,60,高层(共6层)                                                    ,延安里,塘沽,向阳街,河北路3,"邻地铁,配套齐全,南北通透,",1300,元/月
五十五中学 银达公寓 价格合适 看房方便 东西通透 总医院,2,2,108.76,高层(共7层)                                                    ,银达公寓,和平,南营门,卫津路75号,"邻地铁,随时看房,",3800,元/月
华兴里(西青) 2室1厅1卫,2,1,104,高层(共6层)                                                    ,华兴里(西青),西青,中北,海泰南北大街,"邻地铁,押一付一,配套齐全,",2000,元
出租昊天园独单一室一厅一月850家具家电齐全拎包入住,1,1,60,共3层                                                    ,昊天园,津南,小站,寿昌路,"配套齐全,南北通透,有阳台,",850,元/月
霞光里(北辰) 1室2厅1卫 1300.0元 61.49平米,1,2,61.49,高层(共7层)                                                    ,霞光里(北辰),北辰,果园新村,果园北道3号,,1300,元/月
星海苑两室出租   家具家电齐全  干净整洁  交通方便,2,1,90.0,低层(共8层)                                                    ,星海苑,塘沽,胡家园街,津塘公路,"随时看房,",1400,元/月
西园西里 1室1厅1卫 33平 精装修 临近地铁周边设施齐全,1,1,33.00,高层(共6层)                                                    ,西园西里,河西,友谊路,"宾馆南道,近宾馆西路","邻地铁,精装修,",1800,元/月
出租仁和园，两室一厅精装修，拎包入住。,2,1,88,高层(共9层)                                                    ,仁和园(津南),津南,双港,梨双公路,"邻地铁,配套齐全,精装修,",1700,元/月
金水湾(武清) 2室2厅1卫 电梯房  精装修.价位可议,2,1,65,低层(共26层)                                                    ,金水湾(武清),武清,王庆坨镇,津同公路151号,"配套齐全,精装修,有阳台,首次出租,",900,元/月
整租  中山门街  友爱东道  2室1厅,2,1,60,高层(共6层)                                                    ,友爱东道小区,河东,中山门,友爱东道,"邻地铁,精装修,",2000,元/月
新出二中旁精装两室 拎包入住 采光好 赠送周保洁 实景照片,2,1,104,高层(共25层)                                                    ,万通新城国际,开发区,第四大街,时尚西路19号,"邻地铁,押一付一,配套齐全,",3300,元/月
照湖里  年底好房 临近天津大学 时代数码 百脑汇 诚心出租,1,1,38,共5层                                                    ,照湖里,南开,学府街,湖镜道1号,"配套齐全,精装修,有阳台,",1900,元/月
建设路小区 两室 拎包入住 随时看房 三中附近,2,1,89,中层(共6层)                                                    ,建设楼(宝坻),宝坻,宝平街,建设路,"配套齐全,精装修,南北通透,有阳台,",600,元/月
瑞竹大厦，拎包入住，血液研究所对过，配套齐全,2,1,50,低层(共19层)                                                    ,瑞竹大厦,和平,南营门,南京路239号,"邻地铁,配套齐全,精装修,",3800,元/月
免中介，候台一室精装好房，先到先得，价格美丽,1,1,45,高层(共6层)                                                    ,侯台家园,西青,侯台,楚雄西道,"押一付一,配套齐全,精装修,有阳台,",1350,元/月
1400一室一厅卫南向65平 装修很好 适合周边上班族,1,1,65,中层(共22层)                                                    ,天安象屿都汇,东丽,东丽湖,103省道,"配套齐全,有阳台,随时看房,",1400,元/月
英伦名苑 三楼 家具家电齐全 干净温馨,2,1,71,中层(共6层)                                                    ,英伦名苑,西青,杨柳青,欣杨道,"配套齐全,精装修,南北通透,有阳台,",1300,元/月
整租  小海地  桂江里  1室1厅,1,1,27,高层(共6层)                                                    ,桂江里(河西),河西,小海地,"泗水道,近微山路","邻地铁,精装修,",1650,元/月
悦光年900一个月1室1厅1卫 精装修 30平 电梯房,1,1,30,共5层                                                    ,悦光年威壹汽车中心,武清,杨村街,京福公路,"配套齐全,精装修,随时看房,",900,元/月
房租精装修，随时可以看房价格还能再谈谈。,2,1,60,高层(共6层)                                                    ,迎水西里,南开,王顶堤,红旗南路,"邻地铁,配套齐全,精装修,",2500,元/月
柴楼新庄园隆园 1室1厅1卫 68平 精装修 电梯房,1,1,68,中层(共33层)                                                    ,柴楼新庄园隆园,北辰,双街镇,顺境北路56号,"精装修,",1300,元/月
富满里 2室1厅1卫 精装修 60平,2,1,60,中层(共6层)                                                    ,富满里,河西,天塔,黑牛城道219号,"邻地铁,配套齐全,精装修,",1900,元/月
金冠里 近地铁 配套齐全 精致小一居,1,1,48.7,高层(共6层)                                                    ,金冠里,南开,王顶堤,"农裕大街,近复康路","邻地铁,配套齐全,精装修,",2000,元/月
精装二室低楼层拎包入住 温馨干净 地铁五六号线旁东湖小学旁,2,2,100,低层(共6层)                                                    ,环湖中路小区,河西,友谊路,环湖中路,"邻地铁,配套齐全,精装修,",3300,元/月
南开万兴街 精装1室  家具齐全 月付 干净实图 拎包入住,1,1,35,低层(共6层)                                                    ,义兴南里,南开,万兴街,南丰路138号,"押一付一,配套齐全,精装修,",2100,元/月
近开里干净整洁小两室生活配套齐全,2,0,43,共4层                                                    ,近开里,塘沽,新港街,"新港三号路,近港医路","配套齐全,精装修,南北通透,随时看房,",1400,元/月
地华里 1室1厅1卫 精装修 55平 南北通透,1,1,55.85,中层(共6层)                                                    ,地华里,南开,华苑,"中孚路,近迎水道","邻地铁,配套齐全,精装修,",2880,元/月
庆荣里社区 1室1厅1卫 南北通透 精装修 41平 随时住,1,1,44,高层(共7层)                                                    ,庆荣里社区,河西,桃园街,绍兴道,"邻地铁,配套齐全,精装修,",1500,元/月
盛泽园 精装两室 拎包入住 家具齐全 交通便利 业主急租,2,1,94,中层(共29层)                                                    ,盛泽园,北辰,青光,新景道,"配套齐全,有阳台,随时看房,",1700,元/月
